선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김원중,롯데,62528,2.67,53,4,3,32,0,0.571,60 2/3,58,4,33,2,69,21,18,1.50,0,0,0,6,272,1117,11,2,4,1,6,7,1,0,0,4,43,38,3,3,58,48,1.21
심재민,롯데,64017,3.00,4,1,0,0,0,1.000,3,5,0,1,0,2,2,1,2.00,0,0,0,0,15,48,1,0,0,0,0,1,0,0,0,1,2,0,0,0,5,2,2.50
홍민기,롯데,50596,3.09,25,0,2,0,3,0.000,32,24,0,11,2,39,13,11,1.09,0,0,0,0,129,510,5,1,0,2,0,1,0,2,0,0,2,5,0,7,33,20,1.65
감보아,롯데,55532,3.58,19,7,8,0,0,0.467,108,97,6,49,4,117,54,43,1.35,0,0,11,0,475,1866,16,0,6,5,0,5,0,19,7,0,0,0,0,7,121,81,1.49
데이비슨,롯데,55536,3.65,22,10,5,0,0,0.667,123 1/3,123,10,48,5,119,53,50,1.39,0,0,11,0,529,2100,20,2,4,2,0,4,1,22,10,0,0,0,0,12,120,110,1.09
정성종,롯데,68556,3.86,2,0,0,0,0,-,2 1/3,3,1,0,0,0,1,1,1.29,0,0,0,0,10,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.33
나균안,롯데,67539,3.87,28,3,7,0,0,0.300,137 1/3,143,13,50,5,116,67,59,1.41,0,0,9,0,601,2328,23,3,7,5,0,3,0,26,2,1,1,0,0,8,140,140,1.00
정현수,롯데,54537,3.97,82,2,0,0,12,1.000,47 2/3,34,4,26,2,47,23,21,1.26,0,0,0,0,203,851,9,0,3,3,0,2,0,0,0,2,9,15,0,5,45,46,0.98
김강현,롯데,65522,4.00,67,2,2,0,4,0.500,72,69,9,21,7,36,37,32,1.25,0,0,0,0,306,1135,15,1,2,4,0,4,0,0,0,2,19,1,0,6,95,76,1.25
송재영,롯데,51594,4.00,46,1,0,0,3,1.000,27,19,3,24,0,28,13,12,1.59,0,0,0,0,121,491,4,0,1,2,0,2,0,0,0,1,6,4,0,5,24,25,0.96
정철원,롯데,68242,4.24,75,8,3,0,21,0.727,70,72,4,28,7,55,34,33,1.43,0,0,0,6,312,1169,13,1,3,5,2,5,0,0,0,8,4,27,0,7,73,74,0.99
김태현,롯데,55566,4.50,1,0,0,0,0,-,2,1,0,4,0,2,2,1,2.50,0,0,0,0,12,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.67
박세웅,롯데,64021,4.93,29,11,13,0,0,0.458,160 2/3,183,15,54,8,156,99,88,1.48,0,0,12,0,722,2694,46,1,8,4,0,14,1,28,11,0,0,0,0,9,171,142,1.20
이민석,롯데,52530,5.26,20,2,5,0,0,0.286,87 1/3,104,10,56,2,61,56,51,1.83,0,0,4,0,417,1596,13,2,3,4,0,2,0,17,2,0,0,0,0,8,105,86,1.22
최준용,롯데,50556,5.30,49,4,4,1,17,0.500,54 1/3,50,5,16,6,62,35,32,1.21,0,0,0,4,234,910,9,1,4,2,0,3,0,0,0,4,4,17,0,1,43,53,0.81
반즈,롯데,52528,5.32,8,3,4,0,0,0.429,45 2/3,47,4,17,2,38,31,27,1.40,0,0,3,0,204,761,14,2,2,1,0,2,0,8,3,0,0,0,0,2,55,43,1.28
박진,롯데,69594,5.32,51,3,3,1,3,0.500,69 1/3,76,10,22,1,50,42,41,1.41,0,0,0,1,302,1172,10,3,1,4,0,5,0,5,0,3,11,5,1,8,70,82,0.85
정우준,롯데,51546,5.40,3,0,0,0,0,-,3 1/3,6,0,0,1,3,2,2,1.80,0,0,0,0,16,58,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,4,0.50
한현희,롯데,62363,6.23,3,0,0,0,1,-,8 2/3,13,2,2,1,8,6,6,1.73,0,0,0,0,41,161,2,0,0,0,0,1,0,2,0,0,0,0,0,1,5,12,0.42
김태혁,롯데,76430,6.38,45,0,1,2,3,0.000,36 2/3,48,4,18,3,27,26,26,1.80,0,0,0,0,180,644,10,0,2,4,2,1,0,0,0,0,14,7,1,2,44,38,1.16
구승민,롯데,63543,7.00,11,0,1,0,1,0.000,9,9,1,7,1,10,10,7,1.78,0,0,0,0,45,187,1,1,0,0,0,0,0,0,0,0,5,2,0,0,10,8,1.25
윤성빈,롯데,67588,7.67,31,1,2,0,0,0.333,27,26,3,20,4,44,23,23,1.70,0,0,0,0,130,524,7,0,0,0,1,6,0,1,0,1,9,1,0,0,14,22,0.64
박준우,롯데,54503,8.03,11,1,2,0,1,0.333,12 1/3,21,0,6,1,11,11,11,2.19,0,0,0,1,64,238,3,1,0,0,0,0,0,1,0,1,1,1,0,0,13,12,1.08
벨라스케즈,롯데,55526,8.23,11,1,4,0,0,0.200,35,47,7,18,3,28,32,32,1.86,0,0,1,0,168,651,10,1,2,0,0,1,2,7,1,0,1,0,0,2,33,37,0.89
박진형,롯데,63512,8.44,7,0,0,0,0,-,5 1/3,9,1,3,0,5,7,5,2.25,0,0,0,0,29,104,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,1.40
이영재,롯데,55503,9.00,3,0,0,0,0,-,2,5,1,0,1,2,2,2,2.50,0,0,0,0,11,43,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2.00
김진욱,롯데,51516,10.00,14,1,3,0,0,0.250,27,42,10,16,2,24,32,30,2.15,0,0,1,2,136,544,6,0,2,1,0,0,0,6,1,0,0,2,0,2,27,23,1.17
박시영,롯데,60559,11.05,11,1,0,0,0,1.000,7 1/3,9,0,9,2,10,9,9,2.45,0,0,0,0,42,169,4,0,0,0,0,0,0,0,0,1,2,1,0,0,7,5,1.40
박세현,롯데,55568,14.73,3,0,0,0,0,-,3 2/3,8,1,1,1,4,6,6,2.45,0,0,0,0,21,65,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0.40
