playerId,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
68700,1,이원석,한화,129,25,22,3,88.0,3,3
53764,2,문현빈,한화,141,23,17,6,73.9,4,2
69737,3,노시환,한화,144,19,14,5,73.7,9,1
55734,4,플로리얼,한화,65,16,13,3,81.3,4,2
64006,5,심우준,한화,94,12,11,1,91.7,3,1
66704,6,김태연,한화,120,8,5,3,62.5,2,0
79608,7,안치홍,한화,66,3,3,0,100,2,0
52704,7,이상혁,한화,39,7,3,4,42.9,0,1
50704,9,임종찬,한화,17,2,2,0,100,1,0
62700,9,하주석,한화,95,3,2,1,66.7,3,0
55703,11,리베라토,한화,62,1,1,0,100,3,0
69766,11,유로결,한화,20,1,1,0,100,0,2
65703,11,이도윤,한화,113,1,1,0,100,1,0
76812,11,이재원,한화,98,2,1,1,50.0,0,0
66657,11,이진영,한화,115,5,1,4,20.0,1,0
79192,11,채은성,한화,132,3,1,2,33.3,3,1
50707,11,최인호,한화,78,1,1,0,100,2,0
78288,11,최재훈,한화,121,2,1,1,50.0,2,0
54795,11,황영묵,한화,117,4,1,3,25.0,3,2
52769,20,권광민,한화,15,0,0,0,-,0,0
53754,20,김서현,한화,3,0,0,0,-,0,0
50711,20,김승일,한화,1,0,0,0,-,0,0
66715,20,김인환,한화,10,0,0,0,-,1,0
63765,20,김종수,한화,1,0,0,0,-,0,0
67703,20,박상원,한화,1,0,0,0,-,0,0
50709,20,박정현,한화,2,0,0,0,-,0,0
77532,20,손아섭,한화,111,4,0,4,0.0,7,0
69213,20,윤산흠,한화,1,0,0,0,-,0,0
55710,20,이민재,한화,3,0,0,0,-,0,0
55712,20,이승현,한화,4,0,0,0,-,0,0
51762,20,장규현,한화,2,0,0,0,-,0,0
55743,20,정우주,한화,3,0,0,0,-,0,0
54768,20,조동욱,한화,2,0,0,0,-,0,0
61666,20,한승혁,한화,1,0,0,0,-,0,0
52764,20,허인서,한화,20,0,0,0,-,0,0
